date Mon Sep 16 17:50:12.990 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Sat Jan 03 05:19:04.252 1970
 0.000000 Start of measurement
 0.050200 1  ErrorFrame
 0.050460 1  ErrorFrame
 0.050720 1  ErrorFrame
 0.050980 1  ErrorFrame
 0.051240 1  ErrorFrame
 0.051500 1  ErrorFrame
 0.051760 1  ErrorFrame
 0.052020 1  ErrorFrame
 0.052280 1  ErrorFrame
 0.052540 1  ErrorFrame
 0.052800 1  ErrorFrame
 0.053060 1  ErrorFrame
 0.053320 1  ErrorFrame
 0.053580 1  ErrorFrame
 0.053840 1  ErrorFrame
 0.054100 1  ErrorFrame
 0.054360 1  ErrorFrame
 0.054620 1  ErrorFrame
 0.054880 1  ErrorFrame
 0.055140 1  ErrorFrame
 0.055400 1  ErrorFrame
 0.055660 1  ErrorFrame
 0.055920 1  ErrorFrame
 0.056180 1  ErrorFrame
 0.056440 1  ErrorFrame
 0.056700 1  ErrorFrame
 0.056960 1  ErrorFrame
 0.057220 1  ErrorFrame
 0.057480 1  ErrorFrame
 0.057740 1  ErrorFrame
 0.058000 1  ErrorFrame
 0.058260 1  ErrorFrame
 0.058520 1  ErrorFrame
 0.058780 1  ErrorFrame
 0.059040 1  ErrorFrame
 0.059300 1  ErrorFrame
 0.059560 1  ErrorFrame
 0.059820 1  ErrorFrame
 0.060080 1  ErrorFrame
 0.060340 1  ErrorFrame
 0.060600 1  ErrorFrame
 0.060860 1  ErrorFrame
 0.061120 1  ErrorFrame
 0.061380 1  ErrorFrame
 0.061640 1  ErrorFrame
 0.061900 1  ErrorFrame
 0.062160 1  ErrorFrame
 0.062420 1  ErrorFrame
 0.062680 1  ErrorFrame
 0.062940 1  ErrorFrame
 0.063200 1  ErrorFrame
 0.063460 1  ErrorFrame
 0.063720 1  ErrorFrame
 0.063980 1  ErrorFrame
 0.064240 1  ErrorFrame
 0.064500 1  ErrorFrame
 0.064760 1  ErrorFrame
 0.065020 1  ErrorFrame
 0.065280 1  ErrorFrame
 0.065540 1  ErrorFrame
 0.065800 1  ErrorFrame
 0.066060 1  ErrorFrame
 0.066320 1  ErrorFrame
 0.066580 1  ErrorFrame
 0.066840 1  ErrorFrame
 0.067100 1  ErrorFrame
 0.067360 1  ErrorFrame
 0.067620 1  ErrorFrame
 0.067880 1  ErrorFrame
 0.068140 1  ErrorFrame
 0.068400 1  ErrorFrame
 0.068660 1  ErrorFrame
 0.068920 1  ErrorFrame
 0.069180 1  ErrorFrame
 0.069440 1  ErrorFrame
 0.069700 1  ErrorFrame
 0.069960 1  ErrorFrame
 0.070220 1  ErrorFrame
 0.070480 1  ErrorFrame
 0.070740 1  ErrorFrame
 0.071000 1  ErrorFrame
 0.071260 1  ErrorFrame
 0.071520 1  ErrorFrame
 0.071780 1  ErrorFrame
 0.072040 1  ErrorFrame
 0.072300 1  ErrorFrame
 0.072560 1  ErrorFrame
 0.072820 1  ErrorFrame
 0.073080 1  ErrorFrame
 0.073340 1  ErrorFrame
 0.073600 1  ErrorFrame
 0.073860 1  ErrorFrame
 0.074120 1  ErrorFrame
 0.074380 1  ErrorFrame
 0.074640 1  ErrorFrame
 0.074900 1  ErrorFrame
 0.075160 1  ErrorFrame
 0.075420 1  ErrorFrame
 0.075680 1  ErrorFrame
 0.075940 1  ErrorFrame
 0.076200 1  ErrorFrame
 0.076460 1  ErrorFrame
 0.076720 1  ErrorFrame
 0.076980 1  ErrorFrame
 0.077240 1  ErrorFrame
 0.077500 1  ErrorFrame
 0.077760 1  ErrorFrame
 0.078020 1  ErrorFrame
 0.078280 1  ErrorFrame
 0.078540 1  ErrorFrame
 0.078800 1  ErrorFrame
 0.079060 1  ErrorFrame
 0.079320 1  ErrorFrame
 0.079580 1  ErrorFrame
 0.079840 1  ErrorFrame
 0.080100 1  ErrorFrame
 0.080360 1  ErrorFrame
 0.080620 1  ErrorFrame
 0.080880 1  ErrorFrame
 0.081140 1  ErrorFrame
 0.081400 1  ErrorFrame
 0.081660 1  ErrorFrame
 0.081920 1  ErrorFrame
 0.082180 1  ErrorFrame
 0.082440 1  ErrorFrame
 0.082700 1  ErrorFrame
 0.082960 1  ErrorFrame
 0.083220 1  ErrorFrame
 0.083480 1  ErrorFrame
 0.083740 1  ErrorFrame
 0.084000 1  ErrorFrame
 0.084260 1  ErrorFrame
 0.084520 1  ErrorFrame
 0.084780 1  ErrorFrame
 0.085040 1  ErrorFrame
 0.085300 1  ErrorFrame
 0.085560 1  ErrorFrame
 0.085820 1  ErrorFrame
 0.086080 1  ErrorFrame
 0.086340 1  ErrorFrame
 0.086600 1  ErrorFrame
 0.086860 1  ErrorFrame
 0.087120 1  ErrorFrame
 0.087380 1  ErrorFrame
 0.087640 1  ErrorFrame
 0.087900 1  ErrorFrame
 0.088160 1  ErrorFrame
 0.088420 1  ErrorFrame
 0.088680 1  ErrorFrame
 0.088940 1  ErrorFrame
 0.089200 1  ErrorFrame
 0.089460 1  ErrorFrame
 0.089720 1  ErrorFrame
 0.089980 1  ErrorFrame
 0.090240 1  ErrorFrame
 0.090500 1  ErrorFrame
 0.090760 1  ErrorFrame
 0.091020 1  ErrorFrame
 0.091280 1  ErrorFrame
 0.091540 1  ErrorFrame
 0.091800 1  ErrorFrame
 0.092060 1  ErrorFrame
 0.092320 1  ErrorFrame
 0.092580 1  ErrorFrame
 0.092840 1  ErrorFrame
 0.093100 1  ErrorFrame
 0.093360 1  ErrorFrame
 0.093620 1  ErrorFrame
 0.093880 1  ErrorFrame
 0.094140 1  ErrorFrame
 0.094400 1  ErrorFrame
 0.094660 1  ErrorFrame
 0.094920 1  ErrorFrame
 0.095180 1  ErrorFrame
 0.095440 1  ErrorFrame
 0.095700 1  ErrorFrame
 0.095960 1  ErrorFrame
 0.096220 1  ErrorFrame
 0.096480 1  ErrorFrame
 0.096740 1  ErrorFrame
 0.097000 1  ErrorFrame
 0.097260 1  ErrorFrame
 0.097520 1  ErrorFrame
 0.097780 1  ErrorFrame
 0.098040 1  ErrorFrame
 0.098300 1  ErrorFrame
 0.098560 1  ErrorFrame
 0.098820 1  ErrorFrame
 0.099080 1  ErrorFrame
 0.099340 1  ErrorFrame
 0.099600 1  ErrorFrame
 0.099876 1  ErrorFrame
 0.100026 1  ErrorFrame
 0.100236 1  ErrorFrame
 0.100468 1  ErrorFrame
 0.102066 1  ErrorFrame
 0.103128 1  ErrorFrame
 0.133040 1  71              Rx   d 3 00 C0 12
 0.134898 1  FB              Rx   d 6 00 00 00 00 00 00
 0.136438 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.200625 1  ErrorFrame
 0.201887 1  ErrorFrame
 0.203003 1  ErrorFrame
 0.233375 1  71              Rx   d 3 00 C0 12
 0.235169 1  FB              Rx   d 6 00 00 00 00 00 00
 0.236797 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.300597 1  ErrorFrame
 0.301623 1  ErrorFrame
 0.303334 1  ErrorFrame
 0.333407 1  71              Rx   d 3 00 C0 12
 0.335714 1  FB              Rx   d 6 00 00 00 00 00 00
 0.336724 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.400359 1  ErrorFrame
 0.401955 1  ErrorFrame
 0.402989 1  ErrorFrame
 0.433395 1  71              Rx   d 3 00 C0 12
 0.435571 1  FB              Rx   d 6 00 00 00 00 00 00
 0.436861 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.500354 1  ErrorFrame
 0.501856 1  ErrorFrame
 0.502922 1  ErrorFrame
 0.533674 1  71              Rx   d 3 00 C0 12
 0.535212 1  FB              Rx   d 6 00 00 00 00 00 00
 0.536874 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.600536 1  ErrorFrame
 0.601700 1  ErrorFrame
 0.603462 1  ErrorFrame
 0.633422 1  71              Rx   d 3 00 C0 12
 0.635578 1  FB              Rx   d 6 00 00 00 00 00 00
 0.636657 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.700875 1  ErrorFrame
 0.701877 1  ErrorFrame
 0.703137 1  ErrorFrame
 0.733427 1  71              Rx   d 3 00 C0 12
 0.735577 1  FB              Rx   d 6 00 00 00 00 00 00
 0.736819 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.800571 1  ErrorFrame
 0.802142 1  ErrorFrame
 0.803204 1  ErrorFrame
 0.833966 1  71              Rx   d 3 00 C0 12
 0.835662 1  FB              Rx   d 6 00 00 00 00 00 00
 0.836720 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 0.900126 1  ErrorFrame
 0.902032 1  ErrorFrame
 0.903232 1  ErrorFrame
 0.933826 1  71              Rx   d 3 00 C0 12
 0.935392 1  FB              Rx   d 6 00 00 00 00 00 00
 0.937416 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.000659 1  ErrorFrame
 1.001773 1  ErrorFrame
 1.003285 1  ErrorFrame
 1.033345 1  71              Rx   d 3 00 C0 12
 1.035751 1  FB              Rx   d 6 00 00 00 00 00 00
 1.036699 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.100729 1  ErrorFrame
 1.101635 1  ErrorFrame
 1.103332 1  ErrorFrame
 1.133719 1  71              Rx   d 3 00 C0 12
 1.135506 1  FB              Rx   d 6 00 00 00 00 00 00
 1.137242 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.200660 1  ErrorFrame
 1.201656 1  ErrorFrame
 1.203022 1  ErrorFrame
 1.233520 1  71              Rx   d 3 00 C0 12
 1.235338 1  FB              Rx   d 6 00 00 00 00 00 00
