date Sat Sep 28 00:08:36.429 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed Jan 07 11:36:56.173 1970
 0.000000 Start of measurement
 0.049834 1  ErrorFrame
 0.050090 1  ErrorFrame
 0.050346 1  ErrorFrame
 0.050602 1  ErrorFrame
 0.050858 1  ErrorFrame
 0.051114 1  ErrorFrame
 0.051370 1  ErrorFrame
 0.051626 1  ErrorFrame
 0.051882 1  ErrorFrame
 0.052138 1  ErrorFrame
 0.052394 1  ErrorFrame
 0.052650 1  ErrorFrame
 0.052906 1  ErrorFrame
 0.053162 1  ErrorFrame
 0.053418 1  ErrorFrame
 0.053674 1  ErrorFrame
 0.053930 1  ErrorFrame
 0.054186 1  ErrorFrame
 0.054485 1  ErrorFrame
 0.054741 1  ErrorFrame
 0.054997 1  ErrorFrame
 0.055253 1  ErrorFrame
 0.055509 1  ErrorFrame
 0.055765 1  ErrorFrame
 0.056021 1  ErrorFrame
 0.056277 1  ErrorFrame
 0.056533 1  ErrorFrame
 0.056789 1  ErrorFrame
 0.057045 1  ErrorFrame
 0.057301 1  ErrorFrame
 0.057557 1  ErrorFrame
 0.057813 1  ErrorFrame
 0.058069 1  ErrorFrame
 0.058324 1  ErrorFrame
 0.058580 1  ErrorFrame
 0.058836 1  ErrorFrame
 0.059092 1  ErrorFrame
 0.059348 1  ErrorFrame
 0.059604 1  ErrorFrame
 0.059903 1  ErrorFrame
 0.060159 1  ErrorFrame
 0.060415 1  ErrorFrame
 0.060671 1  ErrorFrame
 0.060927 1  ErrorFrame
 0.061183 1  ErrorFrame
 0.061439 1  ErrorFrame
 0.061695 1  ErrorFrame
 0.061951 1  ErrorFrame
 0.062207 1  ErrorFrame
 0.062463 1  ErrorFrame
 0.062719 1  ErrorFrame
 0.062975 1  ErrorFrame
 0.063231 1  ErrorFrame
 0.063487 1  ErrorFrame
 0.063743 1  ErrorFrame
 0.063999 1  ErrorFrame
 0.064255 1  ErrorFrame
 0.064511 1  ErrorFrame
 0.064767 1  ErrorFrame
 0.065023 1  ErrorFrame
 0.065279 1  ErrorFrame
 0.065578 1  ErrorFrame
 0.065834 1  ErrorFrame
 0.066090 1  ErrorFrame
 0.066346 1  ErrorFrame
 0.066602 1  ErrorFrame
 0.066858 1  ErrorFrame
 0.067114 1  ErrorFrame
 0.067370 1  ErrorFrame
 0.067626 1  ErrorFrame
 0.067882 1  ErrorFrame
 0.068138 1  ErrorFrame
 0.068394 1  ErrorFrame
 0.068650 1  ErrorFrame
 0.068906 1  ErrorFrame
 0.069162 1  ErrorFrame
 0.069418 1  ErrorFrame
 0.069674 1  ErrorFrame
 0.069930 1  ErrorFrame
 0.070186 1  ErrorFrame
 0.070442 1  ErrorFrame
 0.070698 1  ErrorFrame
 0.070996 1  ErrorFrame
 0.071252 1  ErrorFrame
 0.071508 1  ErrorFrame
 0.071764 1  ErrorFrame
 0.072020 1  ErrorFrame
 0.072276 1  ErrorFrame
 0.072532 1  ErrorFrame
 0.072788 1  ErrorFrame
 0.073044 1  ErrorFrame
 0.073300 1  ErrorFrame
 0.073556 1  ErrorFrame
 0.073812 1  ErrorFrame
 0.074068 1  ErrorFrame
 0.074324 1  ErrorFrame
 0.074580 1  ErrorFrame
 0.074836 1  ErrorFrame
 0.075092 1  ErrorFrame
 0.075348 1  ErrorFrame
 0.075604 1  ErrorFrame
 0.075860 1  ErrorFrame
 0.076116 1  ErrorFrame
 0.076415 1  ErrorFrame
 0.076671 1  ErrorFrame
 0.076927 1  ErrorFrame
 0.077183 1  ErrorFrame
 0.077439 1  ErrorFrame
 0.077695 1  ErrorFrame
 0.077951 1  ErrorFrame
 0.078207 1  ErrorFrame
 0.078463 1  ErrorFrame
 0.078719 1  ErrorFrame
 0.078975 1  ErrorFrame
 0.079231 1  ErrorFrame
 0.079487 1  ErrorFrame
 0.079743 1  ErrorFrame
 0.079999 1  ErrorFrame
 0.080255 1  ErrorFrame
 0.080511 1  ErrorFrame
 0.080767 1  ErrorFrame
 0.081023 1  ErrorFrame
 0.081279 1  ErrorFrame
 0.081535 1  ErrorFrame
 0.081791 1  ErrorFrame
 0.082089 1  ErrorFrame
 0.082345 1  ErrorFrame
 0.082601 1  ErrorFrame
 0.082857 1  ErrorFrame
 0.083113 1  ErrorFrame
 0.083369 1  ErrorFrame
 0.083625 1  ErrorFrame
 0.083881 1  ErrorFrame
 0.084137 1  ErrorFrame
 0.084393 1  ErrorFrame
 0.084649 1  ErrorFrame
 0.084905 1  ErrorFrame
 0.085161 1  ErrorFrame
 0.085417 1  ErrorFrame
 0.085673 1  ErrorFrame
 0.085929 1  ErrorFrame
 0.086185 1  ErrorFrame
 0.086441 1  ErrorFrame
 0.086697 1  ErrorFrame
 0.086953 1  ErrorFrame
 0.087209 1  ErrorFrame
 0.087508 1  ErrorFrame
 0.087764 1  ErrorFrame
 0.088020 1  ErrorFrame
 0.088276 1  ErrorFrame
 0.088532 1  ErrorFrame
 0.088788 1  ErrorFrame
 0.089044 1  ErrorFrame
 0.089300 1  ErrorFrame
 0.089556 1  ErrorFrame
 0.089812 1  ErrorFrame
 0.090068 1  ErrorFrame
 0.090324 1  ErrorFrame
 0.090580 1  ErrorFrame
 0.090836 1  ErrorFrame
 0.091092 1  ErrorFrame
 0.091348 1  ErrorFrame
 0.091604 1  ErrorFrame
 0.091860 1  ErrorFrame
 0.092116 1  ErrorFrame
 0.092372 1  ErrorFrame
 0.092628 1  ErrorFrame
 0.092927 1  ErrorFrame
 0.093183 1  ErrorFrame
 0.093439 1  ErrorFrame
 0.093695 1  ErrorFrame
 0.093951 1  ErrorFrame
 0.094207 1  ErrorFrame
 0.094463 1  ErrorFrame
 0.094719 1  ErrorFrame
 0.094975 1  ErrorFrame
 0.095231 1  ErrorFrame
 0.095487 1  ErrorFrame
 0.095743 1  ErrorFrame
 0.095999 1  ErrorFrame
 0.096255 1  ErrorFrame
 0.096511 1  ErrorFrame
 0.096767 1  ErrorFrame
 0.097023 1  ErrorFrame
 0.097279 1  ErrorFrame
 0.097535 1  ErrorFrame
 0.097791 1  ErrorFrame
 0.098047 1  ErrorFrame
 0.098303 1  ErrorFrame
 0.098601 1  ErrorFrame
 0.098857 1  ErrorFrame
 0.099113 1  ErrorFrame
 0.099369 1  ErrorFrame
 0.099625 1  ErrorFrame
 0.099881 1  ErrorFrame
 0.100137 1  ErrorFrame
 0.100393 1  ErrorFrame
 0.100649 1  ErrorFrame
 0.100905 1  ErrorFrame
 0.101161 1  ErrorFrame
 0.101417 1  ErrorFrame
 0.101673 1  ErrorFrame
 0.101929 1  ErrorFrame
 0.102185 1  ErrorFrame
 0.102441 1  ErrorFrame
 0.102697 1  ErrorFrame
 0.102953 1  ErrorFrame
 0.103209 1  ErrorFrame
 0.103465 1  ErrorFrame
 0.103721 1  ErrorFrame
 0.104020 1  ErrorFrame
 0.104276 1  ErrorFrame
 0.104532 1  ErrorFrame
 0.104788 1  ErrorFrame
 0.105044 1  ErrorFrame
 0.105300 1  ErrorFrame
 0.105556 1  ErrorFrame
 0.105812 1  ErrorFrame
 0.106068 1  ErrorFrame
 0.106324 1  ErrorFrame
 0.106580 1  ErrorFrame
 0.106836 1  ErrorFrame
 0.107092 1  ErrorFrame
 0.107348 1  ErrorFrame
 0.107604 1  ErrorFrame
 0.107860 1  ErrorFrame
 0.108116 1  ErrorFrame
 0.108372 1  ErrorFrame
 0.108628 1  ErrorFrame
 0.108884 1  ErrorFrame
 0.109140 1  ErrorFrame
 0.109438 1  ErrorFrame
 0.109694 1  ErrorFrame
 0.109950 1  ErrorFrame
 0.110206 1  ErrorFrame
 0.110462 1  ErrorFrame
 0.110718 1  ErrorFrame
 0.110974 1  ErrorFrame
 0.111230 1  ErrorFrame
 0.111486 1  ErrorFrame
 0.111742 1  ErrorFrame
 0.111998 1  ErrorFrame
 0.112254 1  ErrorFrame
 0.112510 1  ErrorFrame
 0.112766 1  ErrorFrame
 0.113022 1  ErrorFrame
 0.113278 1  ErrorFrame
 0.113534 1  ErrorFrame
 0.113790 1  ErrorFrame
 0.114046 1  ErrorFrame
 0.114302 1  ErrorFrame
 0.114558 1  ErrorFrame
 0.114814 1  ErrorFrame
 0.115113 1  ErrorFrame
 0.115369 1  ErrorFrame
 0.115625 1  ErrorFrame
 0.115881 1  ErrorFrame
 0.116137 1  ErrorFrame
 0.116393 1  ErrorFrame
 0.116649 1  ErrorFrame
 0.116905 1  ErrorFrame
 0.117161 1  ErrorFrame
 0.117417 1  ErrorFrame
 0.117673 1  ErrorFrame
 0.117929 1  ErrorFrame
 0.118185 1  ErrorFrame
 0.118441 1  ErrorFrame
 0.118697 1  ErrorFrame
 0.118953 1  ErrorFrame
 0.119209 1  ErrorFrame
 0.119465 1  ErrorFrame
 0.119721 1  ErrorFrame
 0.119977 1  ErrorFrame
 0.120233 1  ErrorFrame
 0.120532 1  ErrorFrame
